Title,Video link,What the police is doing,What the police is armed with,Police Officer in-charge,State ruled by,Who are the victims?,No. of civilian deaths,No. of injured civilians,No. police personnel injured,No. police personnel deaths,Location,Lattitude (°N),Longitude (°E)
Police attacking protest procession from behind,https://twitter.com/DesiPoliticks/status/1209173205040160774?s=08,Police charging towards peaceful procession of protestors from behind ,Lathis,,,,,,,,Lucknow,26.855,80.915
Bijnor police brutality against paralysed old man,https://twitter.com/sharmasupriya/status/1209041730235842560?s=19,"Police dragging paralysed man, you hear gunshot in end",,,,,,,,,Bijnor,29.37,78.13
Husainabad Lucknow ,https://twitter.com/AapAfroz/status/1209072154001596417?s=08,Police attacking cars in Husainabad Lucknow ,Lathis ,,,,,,,,Lucknow,26.855,80.915
Bulandshahar Police attacking multiple cars,https://twitter.com/imMAK02/status/1208094891621806080?s=08,Police attacking cars in Bulandshahar UP,Lathis ,,,,,,,,Bulandshahr,28.4104,77.8484
Aurangabad Bihar,https://twitter.com/SyedYawerHussa1/status/1209296533645971456?s=08,Police damaging cars parked inside compound ,Lathis and stones,,,,,,,,Aurangabad,19.8957,75.3203
Lucknow. Civilians with BJP sticker on car throwing stones on students,https://twitter.com/srivatsayb/status/1206886926289997825?s=08,Civilians with BJP stickers throwing stones on students .,,,,,,,,,Lucknow,26.855,80.915
Pro BJP men attacking lone Muslim man,https://twitter.com/cjwerleman/status/1209163918033080322?s=19,,,,,,,,,,Lucknow,26.855,80.915
"Jabalpur, MP",https://twitter.com/KhanIrshad0/status/1209189532261855233?s=19,Police attacks cars in muslim doctor's compound. Signboard shows the doctor's name. ,,,,,,,,,Jabalpur,23.1751,79.9551
Kanpur UP,https://twitter.com/Dilsedesh/status/1208420756008255490?s=19,Pro BJP civilians with police saying camera holder to put the camera aside and let the police fire. Many pro bjp civilians seen beating men with police ,,,,,,,,,Kanpur,26.44,80.33
Bihar,https://twitter.com/neobie14/status/1208661457585549312?s=19,Police destroying vehicles,,,,,,,,,Patna,25.625,85.13
UP,https://twitter.com/neobie14/status/1208691872866226176?s=19,Police breaking locks of shops as woman saying in video,,,,,,,,,Lucknow,26.855,80.915
Gorakhpur UP,https://twitter.com/imMAK02/status/1208428070425649157?s=08,Police ganging up on and attackinglone men passing by. ,,,,,,,,,Gorakhpur,26.7504,83.38
"Mangalore, Karnataka ",https://twitter.com/KKAdeeb1/status/1209938288951214080?s=19,"Mushraf, 16 yr old student was just standing outside his college Matha Education Center waiting for bus, immediately a bunch of police came & attacked him mercilessly.",,,,,,,,,Mangalore,12.9,74.85
