Link	Caption	Date	City	State	Latitude (°N)	Longitude (°E)
https://twitter.com/doamuslims/status/1208021114296946689?s=20	Police throwing stones at Muslims praying in Lucknow. Police pelting stones on people due to which some people also throwing back stones	1/31/20	Lucknow	Uttar Pradesh	26.855	80.915
https://twitter.com/DesiPoliticks/status/1209173205040160774?s=08	Police charging towards peaceful procession of protestors from behind 	2/1/20	Lucknow	Uttar Pradesh	26.855	80.915
https://twitter.com/AapAfroz/status/1209072154001596417?s=08	Police attacking cars in Husainabad Lucknow 	2/2/20	Lucknow	Uttar Pradesh	26.855	80.915
https://twitter.com/srivatsayb/status/1206886926289997825?s=08	Civilians with BJP stickers throwing stones on students .	2/3/20	Lucknow	Uttar Pradesh	26.855	80.915
https://twitter.com/cjwerleman/status/1209163918033080322?s=19	Pro BJP men attacking lone Muslim man	2/4/20	Lucknow	Uttar Pradesh	26.855	80.915
https://twitter.com/neobie14/status/1208691872866226176?s=19	Police breaking locks of shops as woman saying in video	2/5/20	Lucknow	Uttar Pradesh	26.855	80.915
https://twitter.com/srivatsayb/status/1208052736370954241?s=20	Police firing the mob at the protest	2/6/20	Mangalore	Karnataka	12.9	74.85
https://twitter.com/writesalman/status/1208069776884428800?s=20	Police lathi-charged on people who weren't even in the protests.	2/7/20	Mangalore	Karnataka	12.9	74.85
https://twitter.com/KKAdeeb1/status/1209938288951214080?s=19	"Mushraf, 16 yr old student was just standing outside his college Matha Education Center waiting for bus, immediately a bunch of police came & attacked him mercilessly."	2/8/20	Mangalore	Karnataka	12.9	74.85
https://twitter.com/zebatweets/status/1210418886392201217?s=20	"In Uttar Pradesh's Meerut, we found CCTV footage showing police striking CCTV cameras with batons before screen goes blank.   Five men were killed by bullets in the area that day. Families accuse police. Police deny charges."	2/9/20	Meerut	Uttar Pradesh	29.0004	77.7
https://twitter.com/AzmiShabana/status/1207698719115808768	Peaceful	2/10/20	Mumbai	Maharashtra	19.017	72.857
https://twitter.com/advsanwar/status/1208728309623873538?s=20	"Peaceful. Protest in Dharavi, Asia's largest slum in Mumbai "	2/11/20	Mumbai	Maharashtra	19.017	72.857
https://www.telegraphindia.com/states/west-bengal/stone-gang-in-fake-skullcap-held-by-murshidabad-police/cid/1728657	"Alleged BJP workers pelting stones at an engine, dressed in skull caps fomenting violence"	2/12/20	Murshidabad	West Bengal	24.17	88.28
https://twitter.com/yogital/status/1210514405730873345?s=19	Forcible entry into households and subsequent looting and threats	2/13/20	Muzaffarnagar	Uttar Pradesh	29.485	77.695
https://twitter.com/UAH_India/status/1211117998745894912?s=20	"Moulana Syed raza hussaini (82), a shia scholar, was dragged out from Madarsa & brutally beaten up by cops in Muzaffarnagar, UP."	2/14/20	Muzaffarnagar	Uttar Pradesh	29.485	77.695
https://twitter.com/shraddhs/status/1208215489157054464	Peaceful protest in Nagpur	2/15/20	Nagpur	Maharashtra	21.17	79.09
https://twitter.com/neobie14/status/1208661457585549312?s=19	Police destroying vehicles	2/16/20	Patna	Bihar	25.625	85.13
https://twitter.com/CPPuneCity/status/1208057982929391616	Peaceful	2/17/20	Pune	Maharashtra	18.53	73.85
https://twitter.com/itssinghswati/status/1207995229455839233?s=20	(Peaceful) National Anthem in one voice.  Video from #CAA_NRC_Protests at Vaniyambadi in Tamil Nadu.  	2/18/20	Vaniyambadi	Tamil Nadu	12.68	78.63
